Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,58.820000,59.310001,58.380001,59.299999,57.157574,20187300
2022-01-04,59.730000,60.540001,59.590000,60.290001,58.111809,26141600
2022-01-05,60.090000,61.200001,60.049999,60.790001,58.593746,22507300
2022-01-06,60.470001,61.119999,60.439999,60.470001,58.285309,17902300
2022-01-07,60.279999,60.720001,60.060001,60.330002,58.150364,12307900
2022-01-10,60.549999,60.820000,60.180000,60.430000,58.246746,20954300
2022-01-11,60.430000,60.490002,59.840000,60.450001,58.266029,19369600
2022-01-12,60.529999,60.689999,60.189999,60.540001,58.352776,15753800
2022-01-13,60.540001,61.040001,60.389999,60.900002,58.699772,14318000
2022-01-14,60.939999,61.450001,60.360001,61.389999,59.172062,19729600
2022-01-18,61.060001,61.189999,60.450001,60.900002,58.699772,21976700
2022-01-19,60.660000,61.180000,60.560001,61.000000,58.796158,18654700
2022-01-20,61.000000,61.439999,60.720001,60.750000,58.555191,23002400
2022-01-21,61.080002,61.299999,60.400002,60.450001,58.266029,26643200
2022-01-24,59.900002,60.349998,58.570000,59.959999,57.793736,30185100
2022-01-25,59.360001,60.049999,58.689999,59.820000,57.658787,19027100
2022-01-26,59.790001,60.349998,59.209999,59.599998,57.446739,19190200
2022-01-27,59.880001,60.930000,59.500000,59.650002,57.494934,18893800
2022-01-28,59.389999,60.889999,58.939999,60.840000,58.641941,19101500
2022-01-31,60.299999,61.139999,60.150002,61.009998,58.805794,22045300
2022-02-01,60.910000,61.139999,60.160000,60.560001,58.372055,20841700
2022-02-02,60.619999,61.270000,60.560001,61.180000,58.969650,20225600
2022-02-03,60.939999,61.779999,60.590000,61.610001,59.384121,19440500
2022-02-04,61.490002,61.680000,60.570000,60.959999,58.757603,17403700
2022-02-07,61.380001,61.720001,60.860001,61.599998,59.374481,17846400
2022-02-08,61.830002,62.330002,61.740002,62.000000,59.760033,18771700
2022-02-09,62.169998,62.320000,60.900002,61.040001,58.834713,23595600
2022-02-10,60.360001,62.299999,60.200001,61.380001,59.162430,23561500
2022-02-11,61.770000,61.980000,60.150002,60.290001,58.111809,22781400
2022-02-14,60.160000,60.790001,59.279999,60.680000,58.487717,23641300
2022-02-15,60.959999,61.779999,60.630001,60.910000,58.709404,13408700
2022-02-16,60.860001,61.400002,60.560001,60.900002,58.699772,15484700
2022-02-17,60.549999,62.279999,60.410000,62.119999,59.875694,21468700
2022-02-18,62.119999,62.820000,61.990002,62.540001,60.280521,21975000
2022-02-22,62.430000,62.639999,61.720001,62.279999,60.029911,21731400
2022-02-23,62.240002,62.330002,61.340000,61.590000,59.364845,19248500
2022-02-24,59.970001,60.619999,59.220001,60.509998,58.323856,27207400
2022-02-25,60.939999,62.900002,60.919998,62.849998,60.579319,21487800
2022-02-28,61.650002,62.340000,61.410000,62.240002,59.991360,25879100
2022-03-01,62.139999,62.750000,61.509998,61.970001,59.731117,15871100
2022-03-02,62.230000,62.880001,61.779999,62.430000,60.174492,17319100
2022-03-03,62.610001,63.020000,62.290001,62.470001,60.213047,21262800
2022-03-04,61.459999,62.590000,61.200001,62.570000,60.309433,17163000
2022-03-07,62.009998,62.070000,60.720001,61.080002,58.873272,29151400
2022-03-08,61.450001,61.540001,58.590000,58.660000,56.540699,30242100
2022-03-09,59.820000,59.840000,58.660000,58.959999,56.829861,23022700
2022-03-10,58.480000,58.660000,57.500000,57.880001,55.788883,20887300
2022-03-11,57.959999,58.849998,57.860001,57.919998,55.827427,19855600
2022-03-14,57.970001,59.040001,57.970001,58.540001,56.856960,17799400
2022-03-15,59.080002,59.889999,58.980000,59.619999,57.905907,18607200
2022-03-16,59.779999,59.939999,58.610001,59.459999,57.750504,17347300
2022-03-17,59.459999,60.139999,59.230000,60.090000,58.362392,15586200
2022-03-18,60.299999,60.299999,59.709999,60.099998,58.372105,30197800
2022-03-21,60.500000,61.099998,60.250000,60.580002,58.838306,17440100
2022-03-22,60.930000,60.950001,60.060001,60.799999,59.051983,17559500
2022-03-23,60.750000,60.980000,60.000000,60.400002,58.663483,15529200
2022-03-24,60.639999,61.020000,60.459999,60.980000,59.226807,13151300
2022-03-25,61.119999,61.610001,61.049999,61.529999,59.760994,12259800
2022-03-28,61.529999,61.939999,61.209999,61.919998,60.139782,11485200
2022-03-29,62.209999,62.529999,61.740002,62.160000,60.372883,14720600
2022-03-30,62.009998,62.209999,61.560001,62.209999,60.421440,13641000
2022-03-31,62.220001,62.639999,62.000000,62.000000,60.217480,16822900
2022-04-01,62.330002,62.950001,62.090000,62.869999,61.062466,12644900
2022-04-04,62.599998,62.790001,61.720001,62.540001,60.741955,11505800
2022-04-05,62.400002,63.240002,62.369999,62.470001,60.673969,15721200
2022-04-06,62.770000,63.259998,62.299999,63.099998,61.285854,19267400
2022-04-07,63.130001,63.669998,62.709999,63.439999,61.616077,13960800
2022-04-08,63.480000,64.040001,63.160000,63.830002,61.994869,12703500
2022-04-11,63.910000,64.300003,63.639999,63.810001,61.975449,12720100
2022-04-12,64.379997,64.809998,63.889999,64.559998,62.703880,18089900
2022-04-13,64.440002,64.870003,64.230003,64.730003,62.868992,11883000
2022-04-14,64.959999,65.570000,64.820000,65.019997,63.150650,16388400
2022-04-18,64.769997,65.180000,64.180000,64.440002,62.587330,11679400
2022-04-19,64.500000,65.250000,64.440002,65.070000,63.199215,11993800
2022-04-20,65.440002,66.239998,65.400002,65.959999,64.063629,14827100
2022-04-21,65.980003,67.000000,65.720001,66.209999,64.306442,15120400
2022-04-22,66.080002,66.339996,65.180000,65.250000,63.374039,14902200
2022-04-25,67.000000,67.199997,64.779999,65.940002,64.044205,25082000
2022-04-26,65.519997,66.370003,65.040001,65.050003,63.179798,21982600
2022-04-27,65.000000,66.279999,65.000000,65.559998,63.675129,16971000
2022-04-28,64.660004,66.279999,64.500000,66.190002,64.287018,22010600
2022-04-29,65.870003,66.029999,64.489998,64.610001,62.752438,20137100
2022-05-02,65.279999,65.309998,62.580002,63.439999,61.616077,24970300
2022-05-03,63.720001,63.939999,62.669998,63.080002,61.266430,21686300
2022-05-04,63.000000,65.120003,62.939999,65.029999,63.160370,19780200
2022-05-05,64.690002,65.029999,64.010002,64.510002,62.655319,20155200
2022-05-06,64.199997,65.309998,64.070000,64.739998,62.878704,18984000
2022-05-09,64.470001,65.360001,64.040001,64.610001,62.752438,20055300
2022-05-10,64.500000,65.320000,63.849998,64.010002,62.169693,21322200
2022-05-11,64.330002,65.199997,63.959999,64.309998,62.461063,19648400
2022-05-12,64.160004,64.529999,63.209999,64.510002,62.655319,22574700
2022-05-13,64.809998,65.800003,64.120003,65.720001,63.830528,16167000
2022-05-16,65.440002,66.379997,65.440002,65.959999,64.063629,13223200
2022-05-17,66.099998,66.099998,65.010002,65.779999,63.888802,21300600
2022-05-18,65.419998,65.519997,60.959999,61.200001,59.440483,31437300
