Date,Open,High,Low,Close,Adj Close,Volume
1/3/2022,"4,778.14","4,796.64","4,758.17","4,796.56","4,796.56","3,831,020,000"
1/4/2022,"4,804.51","4,818.62","4,774.27","4,793.54","4,793.54","4,683,170,000"
1/5/2022,"4,787.99","4,797.70","4,699.44","4,700.58","4,700.58","4,887,960,000"
1/6/2022,"4,693.39","4,725.01","4,671.26","4,696.05","4,696.05","4,295,280,000"
1/7/2022,"4,697.66","4,707.95","4,662.74","4,677.03","4,677.03","4,181,510,000"
1/10/2022,"4,655.34","4,673.02","4,582.24","4,670.29","4,670.29","4,511,810,000"
1/11/2022,"4,669.14","4,714.13","4,638.27","4,713.07","4,713.07","4,101,590,000"
1/12/2022,"4,728.59","4,748.83","4,706.71","4,726.35","4,726.35","4,048,220,000"
1/13/2022,"4,733.56","4,744.13","4,650.29","4,659.03","4,659.03","4,251,730,000"
1/14/2022,"4,637.99","4,665.13","4,614.75","4,662.85","4,662.85","4,338,490,000"
1/18/2022,"4,632.24","4,632.24","4,568.70","4,577.11","4,577.11","4,748,700,000"
1/19/2022,"4,588.03","4,611.55","4,530.20","4,532.76","4,532.76","4,465,740,000"
1/20/2022,"4,547.35","4,602.11","4,477.95","4,482.73","4,482.73","4,640,870,000"
1/21/2022,"4,471.38","4,494.52","4,395.34","4,397.94","4,397.94","5,589,100,000"
1/24/2022,"4,356.32","4,417.35","4,222.62","4,410.13","4,410.13","6,928,110,000"
1/25/2022,"4,366.64","4,411.01","4,287.11","4,356.45","4,356.45","5,145,050,000"
1/26/2022,"4,408.43","4,453.23","4,304.80","4,349.93","4,349.93","5,570,640,000"
1/27/2022,"4,380.58","4,428.74","4,309.50","4,326.51","4,326.51","5,214,200,000"
1/28/2022,"4,336.19","4,432.72","4,292.46","4,431.85","4,431.85","5,031,090,000"
1/31/2022,"4,431.79","4,516.89","4,414.02","4,515.55","4,515.55","5,098,610,000"
2/1/2022,"4,519.57","4,550.49","4,483.53","4,546.54","4,546.54","4,816,830,000"
2/2/2022,"4,566.39","4,595.31","4,544.32","4,589.38","4,589.38","4,481,580,000"
2/3/2022,"4,535.41","4,542.88","4,470.39","4,477.44","4,477.44","4,401,970,000"
2/4/2022,"4,482.79","4,539.66","4,451.50","4,500.53","4,500.53","4,706,290,000"
2/7/2022,"4,505.75","4,521.86","4,471.47","4,483.87","4,483.87","4,228,480,000"
2/8/2022,"4,480.02","4,531.32","4,465.40","4,521.54","4,521.54","4,459,620,000"
2/9/2022,"4,547.00","4,590.03","4,547.00","4,587.18","4,587.18","4,524,350,000"
2/10/2022,"4,553.24","4,588.92","4,484.31","4,504.08","4,504.08","5,314,860,000"
2/11/2022,"4,506.27","4,526.33","4,401.41","4,418.64","4,418.64","5,251,500,000"
2/14/2022,"4,412.61","4,426.22","4,364.84","4,401.67","4,401.67","4,600,390,000"
2/15/2022,"4,429.28","4,472.77","4,429.28","4,471.07","4,471.07","4,430,830,000"
2/16/2022,"4,455.75","4,489.55","4,429.68","4,475.01","4,475.01","4,283,640,000"
